                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.9348,                 1.3247,                 1.2994,                0.41181,                 0.5692,                0.52504,                0.25097,                 1.8686,                 1.3909,                  1.235,             0.00067502,             0.00067502,             0.00067502
                     81,                 1.9354,                 1.3387,                 1.3501,                0.41181,                 0.5692,                0.52504,                0.25097,                 1.8686,                 1.3909,                  1.235,             0.00067202,             0.00067202,             0.00067202
                     82,                 1.9803,                 1.3829,                 1.3496,                0.39906,                0.59484,                0.51416,                0.21915,                 1.9635,                 1.4298,                 1.2951,             0.00066902,             0.00066902,             0.00066902
                     83,                 2.0941,                 1.4627,                  1.468,                0.37408,                0.57823,                0.48258,                0.18273,                 2.0947,                 1.5477,                 1.3474,             0.00066602,             0.00066602,             0.00066602
                     84,                 1.9975,                 1.3718,                  1.328,                 0.3333,                0.53713,                0.40651,                0.15574,                 2.0857,                  1.767,                 1.3548,             0.00066302,             0.00066302,             0.00066302
                     85,                 1.9669,                 1.3397,                 1.2963,                 0.3333,                0.53713,                0.40651,                0.15574,                 2.0857,                  1.767,                 1.3548,             0.00066002,             0.00066002,             0.00066002
                     86,                 1.8674,                  1.404,                  1.277,                0.31128,                 0.4646,                0.33211,                0.12727,                 2.0846,                 1.9504,                 1.3745,             0.00065703,             0.00065703,             0.00065703
                     87,                 1.8566,                 1.4076,                 1.2828,                0.30377,                0.42697,                0.32616,                0.12753,                 2.1099,                 1.8922,                 1.3856,             0.00065403,             0.00065403,             0.00065403
                     88,                 1.8793,                 1.3623,                  1.284,                0.39966,                0.44396,                0.41052,                0.15058,                 2.1907,                 1.5886,                 1.4141,             0.00065103,             0.00065103,             0.00065103
                     89,                 1.9247,                 1.2739,                 1.2748,                0.39966,                0.44396,                0.41052,                0.15058,                 2.1907,                 1.5886,                 1.4141,             0.00064803,             0.00064803,             0.00064803
                     90,                 1.8537,                 1.3034,                   1.29,                0.37845,                0.47386,                0.44123,                 0.1356,                 2.4028,                 1.5977,                 1.4926,             0.00064503,             0.00064503,             0.00064503
                     91,                 1.8112,                 1.2643,                 1.2628,                0.32025,                0.50879,                0.42054,                0.14142,                 2.3255,                 1.9542,                 1.4552,             0.00064203,             0.00064203,             0.00064203
                     92,                 1.8703,                  1.304,                 1.3196,                0.32932,                0.54521,                0.46821,                0.20144,                 1.9879,                 2.0894,                 1.3023,             0.00063903,             0.00063903,             0.00063903
                     93,                 1.9098,                  1.289,                 1.2638,                0.32932,                0.54521,                0.46821,                0.20144,                 1.9879,                 2.0894,                 1.3023,             0.00063603,             0.00063603,             0.00063603
                     94,                 1.8962,                 1.2844,                   1.34,                0.32847,                0.58513,                0.49151,                0.20726,                 2.1244,                 2.1431,                 1.2982,             0.00063303,             0.00063303,             0.00063303
                     95,                 1.9254,                 1.2908,                 1.2823,                0.31774,                0.58776,                0.51938,                0.18176,                 2.4181,                 2.1183,                 1.3699,             0.00063003,             0.00063003,             0.00063003
                     96,                 2.0451,                 1.2829,                 1.2952,                0.33248,                0.60549,                0.55363,                0.19799,                 2.3882,                 1.9034,                 1.3563,             0.00062703,             0.00062703,             0.00062703
                     97,                 1.8618,                 1.2153,                 1.3104,                0.33248,                0.60549,                0.55363,                0.19799,                 2.3882,                 1.9034,                 1.3563,             0.00062403,             0.00062403,             0.00062403
                     98,                 1.8438,                 1.2541,                  1.319,                0.35959,                0.62477,                0.59463,                0.24608,                 2.1518,                 1.6345,                 1.2968,             0.00062103,             0.00062103,             0.00062103
                     99,                 1.7805,                 1.1976,                 1.2533,                0.42051,                0.63436,                0.63391,                0.29055,                 1.9493,                 1.3637,                 1.2558,             0.00061803,             0.00061803,             0.00061803
                    100,                 1.8446,                  1.231,                 1.3184,                0.45777,                0.63923,                0.64873,                0.30752,                 1.8716,                  1.256,                 1.2417,             0.00061503,             0.00061503,             0.00061503
                    101,                 1.8173,                 1.1913,                  1.294,                0.45777,                0.63923,                0.64873,                0.30752,                 1.8716,                  1.256,                 1.2417,             0.00061203,             0.00061203,             0.00061203
                    102,                  1.813,                 1.1932,                 1.2649,                0.64637,                 0.6098,                0.63901,                0.29897,                    1.9,                 1.2596,                 1.2463,             0.00060903,             0.00060903,             0.00060903
                    103,                 1.8564,                 1.2275,                 1.2627,                0.79743,                 0.5237,                0.62911,                0.28637,                 1.9421,                 1.2704,                 1.2555,             0.00060603,             0.00060603,             0.00060603
                    104,                  1.827,                 1.1847,                 1.2932,                   0.69,                0.60118,                0.62859,                0.26198,                 2.1176,                 1.2346,                 1.2852,             0.00060303,             0.00060303,             0.00060303
                    105,                 1.8267,                 1.2252,                 1.2621,                   0.69,                0.60118,                0.62859,                0.26198,                 2.1176,                 1.2346,                 1.2852,             0.00060003,             0.00060003,             0.00060003
                    106,                 1.7931,                 1.2063,                 1.2676,                0.66809,                0.60402,                0.60582,                0.25736,                 2.0974,                  1.226,                 1.2762,             0.00059703,             0.00059703,             0.00059703
                    107,                  1.745,                 1.1368,                 1.2686,                0.69066,                 0.6316,                0.64299,                 0.2875,                 2.0031,                 1.1833,                 1.2472,             0.00059403,             0.00059403,             0.00059403
                    108,                 1.7695,                 1.1644,                 1.2618,                0.71136,                0.66216,                0.68063,                 0.3159,                 1.9258,                 1.2462,                 1.2221,             0.00059103,             0.00059103,             0.00059103
                    109,                 1.8151,                 1.2793,                 1.3016,                0.71136,                0.66216,                0.68063,                 0.3159,                 1.9258,                 1.2462,                 1.2221,             0.00058803,             0.00058803,             0.00058803
                    110,                 1.7785,                 1.0927,                 1.2357,                0.68583,                0.65098,                0.66829,                0.32142,                 1.8414,                 1.4004,                 1.2055,             0.00058503,             0.00058503,             0.00058503
                    111,                 1.8933,                  1.156,                 1.3762,                0.51123,                0.63659,                0.65645,                0.30667,                  1.864,                  1.438,                 1.2257,             0.00058203,             0.00058203,             0.00058203
                    112,                 1.8245,                  1.218,                 1.2786,                0.51323,                0.64135,                0.66231,                0.30567,                  1.883,                 1.3405,                 1.2475,             0.00057903,             0.00057903,             0.00057903
                    113,                 1.7534,                 1.1405,                  1.224,                0.51323,                0.64135,                0.66231,                0.30567,                  1.883,                 1.3405,                 1.2475,             0.00057603,             0.00057603,             0.00057603
                    114,                 1.8146,                 1.1821,                 1.2241,                0.52919,                0.61354,                0.66326,                0.30928,                 1.8874,                 1.3244,                 1.2412,             0.00057303,             0.00057303,             0.00057303
                    115,                 1.9183,                 1.1823,                 1.2725,                0.58749,                0.64617,                0.68144,                0.31271,                 1.9511,                 1.1857,                  1.241,             0.00057003,             0.00057003,             0.00057003
                    116,                 1.8208,                 1.1377,                 1.3021,                0.56055,                0.68031,                 0.6783,                0.27508,                 2.1515,                 1.1678,                 1.2772,             0.00056703,             0.00056703,             0.00056703
                    117,                 1.9009,                 1.1798,                 1.2417,                0.56055,                0.68031,                 0.6783,                0.27508,                 2.1515,                 1.1678,                 1.2772,             0.00056403,             0.00056403,             0.00056403
                    118,                 1.8202,                  1.216,                 1.2543,                0.47716,                0.64777,                0.62687,                0.23814,                 2.2708,                 1.3041,                 1.3026,             0.00056103,             0.00056103,             0.00056103
                    119,                   2.01,                 1.1933,                 1.2655,                0.42709,                0.61279,                0.56299,                0.24342,                 2.1058,                 1.4471,                  1.263,             0.00055804,             0.00055804,             0.00055804
                    120,                 1.8201,                 1.1705,                 1.2513,                0.46936,                0.62344,                0.58545,                0.28745,                 1.8304,                 1.3274,                 1.2121,             0.00055504,             0.00055504,             0.00055504
                    121,                 1.7614,                 1.1676,                 1.2873,                0.46936,                0.62344,                0.58545,                0.28745,                 1.8304,                 1.3274,                 1.2121,             0.00055204,             0.00055204,             0.00055204
                    122,                 1.8349,                  1.179,                 1.2433,                0.50139,                0.65117,                0.62507,                0.30355,                 1.7843,                 1.2217,                 1.2233,             0.00054904,             0.00054904,             0.00054904
                    123,                 1.7521,                 1.1091,                 1.2369,                0.55177,                 0.6385,                0.65412,                0.30354,                  1.828,                 1.1586,                 1.2408,             0.00054604,             0.00054604,             0.00054604
                    124,                 1.8752,                 1.2164,                 1.3195,                0.56527,                0.60167,                0.66001,                0.30953,                 1.8348,                 1.1577,                 1.2325,             0.00054304,             0.00054304,             0.00054304
                    125,                 1.8316,                 1.1058,                 1.2591,                0.56527,                0.60167,                0.66001,                0.30953,                 1.8348,                 1.1577,                 1.2325,             0.00054004,             0.00054004,             0.00054004
                    126,                 1.7515,                 1.1106,                 1.2291,                0.53736,                0.60681,                0.65431,                0.30946,                 1.8296,                 1.2314,                 1.2297,             0.00053704,             0.00053704,             0.00053704
                    127,                 1.7255,                 1.0823,                 1.2436,                0.53192,                0.64548,                0.67101,                0.32522,                 1.8089,                 1.2855,                  1.217,             0.00053404,             0.00053404,             0.00053404
                    128,                  1.958,                 1.1382,                 1.2219,                0.53724,                0.66673,                0.67943,                0.33476,                 1.7475,                 1.3807,                  1.205,             0.00053104,             0.00053104,             0.00053104
                    129,                 1.7582,                 1.1513,                 1.2167,                0.53724,                0.66673,                0.67943,                0.33476,                 1.7475,                 1.3807,                  1.205,             0.00052804,             0.00052804,             0.00052804
                    130,                 1.8218,                 1.1274,                 1.2592,                0.68278,                0.65088,                0.65624,                0.33099,                 1.7454,                 1.4708,                 1.1933,             0.00052504,             0.00052504,             0.00052504
                    131,                 1.7787,                 1.1489,                 1.2056,                0.71765,                  0.668,                 0.6841,                0.33865,                 1.7759,                 1.3118,                 1.1874,             0.00052204,             0.00052204,             0.00052204
                    132,                 1.7044,                  1.119,                 1.2436,                0.79467,                0.68511,                0.71969,                0.34534,                 1.8733,                 1.1229,                    1.2,             0.00051904,             0.00051904,             0.00051904
                    133,                 1.8389,                  1.199,                 1.2265,                0.79467,                0.68511,                0.71969,                0.34534,                 1.8733,                 1.1229,                    1.2,             0.00051604,             0.00051604,             0.00051604
                    134,                 1.7983,                 1.0739,                  1.234,                0.67449,                0.68208,                0.72463,                0.34957,                 1.8593,                 1.0135,                 1.1988,             0.00051304,             0.00051304,             0.00051304
                    135,                 1.7256,                 1.0845,                 1.2782,                0.65249,                0.66372,                0.70452,                0.33974,                 1.8422,                 1.0258,                 1.2073,             0.00051004,             0.00051004,             0.00051004
